,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
51940,rp,527,0x0007,3198142869,0x00000000,2020-09-24T12:24:17.353Z,2020-09-24T12:24:17.353Z,0.0
51941,rp,528,0x0007,3187231925,0x00000000,2020-09-24T12:24:17.358Z,2020-09-24T12:24:17.358Z,0.0
51942,rp,529,0x0007,1053888610,0x00000000,2020-09-24T12:24:17.358Z,2020-09-24T12:24:17.358Z,0.0
51943,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:17.410Z,2020-09-24T12:24:17.410Z,0.0
51944,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:17.410Z,2020-09-24T12:24:17.410Z,0.0
51945,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:17.410Z,2020-09-24T12:24:17.410Z,0.0
51946,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:17.410Z,2020-09-24T12:24:17.410Z,0.0
51947,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:17.548Z,2020-09-24T12:24:17.548Z,0.0
51948,rp,527,0x0007,3198143088,0x00000000,2020-09-24T12:24:17.604Z,2020-09-24T12:24:17.604Z,0.0
51949,rp,528,0x0007,3187234448,0x00000000,2020-09-24T12:24:17.606Z,2020-09-24T12:24:17.606Z,0.0
51950,rp,529,0x0007,1053887765,0x00000000,2020-09-24T12:24:17.609Z,2020-09-24T12:24:17.609Z,0.0
51951,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:17.640Z,2020-09-24T12:24:17.640Z,0.0
51952,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:17.640Z,2020-09-24T12:24:17.640Z,0.0
51953,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:17.640Z,2020-09-24T12:24:17.640Z,0.0
51954,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:17.710Z,2020-09-24T12:24:17.710Z,0.0
51955,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:17.710Z,2020-09-24T12:24:17.710Z,0.0
51956,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:17.710Z,2020-09-24T12:24:17.710Z,0.0
51957,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:17.710Z,2020-09-24T12:24:17.710Z,0.0
51958,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:17.848Z,2020-09-24T12:24:17.848Z,0.0
51959,rp,527,0x0007,3198143118,0x00000000,2020-09-24T12:24:17.854Z,2020-09-24T12:24:17.854Z,0.0
51960,rp,528,0x0007,3187233569,0x00000000,2020-09-24T12:24:17.857Z,2020-09-24T12:24:17.857Z,0.0
51961,rp,529,0x0007,1053888092,0x00000000,2020-09-24T12:24:17.859Z,2020-09-24T12:24:17.859Z,0.0
51962,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:17.940Z,2020-09-24T12:24:17.940Z,0.0
51963,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:17.940Z,2020-09-24T12:24:17.940Z,0.0
51964,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:17.940Z,2020-09-24T12:24:17.940Z,0.0
51965,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:18.010Z,2020-09-24T12:24:18.010Z,0.0
51966,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:18.010Z,2020-09-24T12:24:18.010Z,0.0
51967,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:18.010Z,2020-09-24T12:24:18.010Z,0.0
51968,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:18.010Z,2020-09-24T12:24:18.010Z,0.0
51969,rp,527,0x0007,3198144215,0x00000000,2020-09-24T12:24:18.105Z,2020-09-24T12:24:18.105Z,0.0
51970,rp,528,0x0007,3187521323,0x00000000,2020-09-24T12:24:18.107Z,2020-09-24T12:24:18.107Z,0.0
51971,rp,529,0x0007,1053165986,0x00000000,2020-09-24T12:24:18.110Z,2020-09-24T12:24:18.110Z,0.0
51972,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:18.148Z,2020-09-24T12:24:18.148Z,0.0
51973,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:18.240Z,2020-09-24T12:24:18.240Z,0.0
51974,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:18.240Z,2020-09-24T12:24:18.240Z,0.0
51975,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:18.240Z,2020-09-24T12:24:18.240Z,0.0
51976,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:18.310Z,2020-09-24T12:24:18.310Z,0.0
51977,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:18.310Z,2020-09-24T12:24:18.310Z,0.0
51978,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:18.310Z,2020-09-24T12:24:18.310Z,0.0
51979,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:18.310Z,2020-09-24T12:24:18.310Z,0.0
51980,rp,527,0x0007,3198141667,0x00000000,2020-09-24T12:24:18.353Z,2020-09-24T12:24:18.353Z,0.0
51981,rp,528,0x0007,3187959744,0x00000000,2020-09-24T12:24:18.356Z,2020-09-24T12:24:18.356Z,0.0
51982,rp,529,0x0007,1051352899,0x00000000,2020-09-24T12:24:18.360Z,2020-09-24T12:24:18.360Z,0.0
51983,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:18.448Z,2020-09-24T12:24:18.448Z,0.0
51984,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:18.540Z,2020-09-24T12:24:18.540Z,0.0
51985,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:18.540Z,2020-09-24T12:24:18.540Z,0.0
51986,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:18.540Z,2020-09-24T12:24:18.540Z,0.0
51987,rp,527,0x0007,3198146716,0x00000000,2020-09-24T12:24:18.603Z,2020-09-24T12:24:18.603Z,0.0
51988,rp,529,0x0007,1051188389,0x00000000,2020-09-24T12:24:18.606Z,2020-09-24T12:24:18.606Z,1.0
51989,rp,528,0x0007,3188609005,0x00000000,2020-09-24T12:24:18.606Z,2020-09-24T12:24:18.606Z,1.0
51990,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:18.610Z,2020-09-24T12:24:18.610Z,1.0
51991,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:18.610Z,2020-09-24T12:24:18.610Z,1.0
51992,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:18.610Z,2020-09-24T12:24:18.610Z,1.0
51993,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:18.610Z,2020-09-24T12:24:18.610Z,1.0
51994,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:18.748Z,2020-09-24T12:24:18.748Z,1.0
51995,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:18.840Z,2020-09-24T12:24:18.840Z,1.0
51996,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:18.840Z,2020-09-24T12:24:18.840Z,1.0
51997,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:18.840Z,2020-09-24T12:24:18.840Z,1.0
51998,rp,527,0x0007,3198146093,0x00000000,2020-09-24T12:24:18.856Z,2020-09-24T12:24:18.856Z,1.0
51999,rp,529,0x0007,1051185867,0x00000000,2020-09-24T12:24:18.859Z,2020-09-24T12:24:18.859Z,1.0
52000,rp,528,0x0007,3188629799,0x00000000,2020-09-24T12:24:18.859Z,2020-09-24T12:24:18.859Z,1.0
52001,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:18.910Z,2020-09-24T12:24:18.910Z,1.0
52002,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:18.910Z,2020-09-24T12:24:18.910Z,1.0
52003,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:18.910Z,2020-09-24T12:24:18.910Z,1.0
52004,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:18.910Z,2020-09-24T12:24:18.910Z,1.0
52005,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:19.048Z,2020-09-24T12:24:19.048Z,1.0
52006,rp,527,0x0007,3198147081,0x00000000,2020-09-24T12:24:19.107Z,2020-09-24T12:24:19.107Z,1.0
52007,rp,528,0x0007,3188627287,0x00000000,2020-09-24T12:24:19.107Z,2020-09-24T12:24:19.107Z,1.0
52008,rp,529,0x0007,1051185583,0x00000000,2020-09-24T12:24:19.109Z,2020-09-24T12:24:19.109Z,1.0
52009,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:19.140Z,2020-09-24T12:24:19.140Z,1.0
52010,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:19.140Z,2020-09-24T12:24:19.140Z,1.0
52011,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:19.140Z,2020-09-24T12:24:19.140Z,1.0
52012,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:19.210Z,2020-09-24T12:24:19.210Z,1.0
52013,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:19.210Z,2020-09-24T12:24:19.210Z,1.0
52014,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:19.210Z,2020-09-24T12:24:19.210Z,1.0
52015,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:19.210Z,2020-09-24T12:24:19.210Z,1.0
52016,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:19.348Z,2020-09-24T12:24:19.348Z,1.0
52017,rp,527,0x0007,3198147061,0x00000000,2020-09-24T12:24:19.357Z,2020-09-24T12:24:19.357Z,1.0
52018,rp,528,0x0007,3188626757,0x00000000,2020-09-24T12:24:19.360Z,2020-09-24T12:24:19.360Z,1.0
52019,rp,529,0x0007,1051185104,0x00000000,2020-09-24T12:24:19.362Z,2020-09-24T12:24:19.362Z,1.0
52020,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:19.440Z,2020-09-24T12:24:19.440Z,1.0
52021,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:19.440Z,2020-09-24T12:24:19.440Z,1.0
52022,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:19.440Z,2020-09-24T12:24:19.440Z,1.0
52023,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:19.510Z,2020-09-24T12:24:19.510Z,1.0
52024,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:19.510Z,2020-09-24T12:24:19.510Z,1.0
52025,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:19.510Z,2020-09-24T12:24:19.510Z,1.0
52026,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:19.510Z,2020-09-24T12:24:19.510Z,1.0
52027,rp,527,0x0007,3198147104,0x00000000,2020-09-24T12:24:19.603Z,2020-09-24T12:24:19.603Z,1.0
52028,rp,528,0x0007,3188627595,0x00000000,2020-09-24T12:24:19.605Z,2020-09-24T12:24:19.605Z,1.0
52029,rp,529,0x0007,1051184666,0x00000000,2020-09-24T12:24:19.605Z,2020-09-24T12:24:19.605Z,1.0
52030,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:19.648Z,2020-09-24T12:24:19.648Z,1.0
52031,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:19.740Z,2020-09-24T12:24:19.740Z,1.0
52032,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:19.740Z,2020-09-24T12:24:19.740Z,1.0
52033,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:19.740Z,2020-09-24T12:24:19.740Z,1.0
52034,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:19.810Z,2020-09-24T12:24:19.810Z,1.0
52035,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:19.810Z,2020-09-24T12:24:19.810Z,1.0
52036,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:19.810Z,2020-09-24T12:24:19.810Z,1.0
52037,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:19.810Z,2020-09-24T12:24:19.810Z,1.0
52038,rp,527,0x0007,3198147138,0x00000000,2020-09-24T12:24:19.853Z,2020-09-24T12:24:19.853Z,1.0
52039,rp,528,0x0007,3188626327,0x00000000,2020-09-24T12:24:19.856Z,2020-09-24T12:24:19.856Z,1.0
52040,rp,529,0x0007,1051184343,0x00000000,2020-09-24T12:24:19.858Z,2020-09-24T12:24:19.858Z,1.0
52041,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:19.948Z,2020-09-24T12:24:19.948Z,1.0
52042,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:20.040Z,2020-09-24T12:24:20.040Z,1.0
52043,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:20.040Z,2020-09-24T12:24:20.040Z,1.0
52044,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:20.040Z,2020-09-24T12:24:20.040Z,1.0
52045,rp,527,0x0007,3198147317,0x00000000,2020-09-24T12:24:20.106Z,2020-09-24T12:24:20.106Z,1.0
52046,rp,529,0x0007,1051185117,0x00000000,2020-09-24T12:24:20.109Z,2020-09-24T12:24:20.109Z,1.0
52047,rp,528,0x0007,3188626366,0x00000000,2020-09-24T12:24:20.109Z,2020-09-24T12:24:20.109Z,1.0
52048,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:20.110Z,2020-09-24T12:24:20.110Z,1.0
52049,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:20.110Z,2020-09-24T12:24:20.110Z,1.0
52050,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:20.110Z,2020-09-24T12:24:20.110Z,1.0
52051,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:20.110Z,2020-09-24T12:24:20.110Z,1.0
52052,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:20.248Z,2020-09-24T12:24:20.248Z,1.0
52053,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:20.340Z,2020-09-24T12:24:20.340Z,1.0
52054,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:20.340Z,2020-09-24T12:24:20.340Z,1.0
52055,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:20.340Z,2020-09-24T12:24:20.340Z,1.0
52056,rp,527,0x0007,3198146930,0x00000000,2020-09-24T12:24:20.354Z,2020-09-24T12:24:20.354Z,1.0
52057,rp,528,0x0007,3188625660,0x00000000,2020-09-24T12:24:20.358Z,2020-09-24T12:24:20.358Z,1.0
52058,rp,529,0x0007,1051184310,0x00000000,2020-09-24T12:24:20.359Z,2020-09-24T12:24:20.359Z,1.0
52059,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:20.410Z,2020-09-24T12:24:20.410Z,1.0
52060,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:20.410Z,2020-09-24T12:24:20.410Z,1.0
52061,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:20.410Z,2020-09-24T12:24:20.410Z,1.0
52062,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:20.410Z,2020-09-24T12:24:20.410Z,1.0
52063,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:20.548Z,2020-09-24T12:24:20.548Z,1.0
52064,rp,527,0x0007,3198146605,0x00000000,2020-09-24T12:24:20.603Z,2020-09-24T12:24:20.603Z,1.0
52065,rp,528,0x0007,3188540495,0x00000000,2020-09-24T12:24:20.605Z,2020-09-24T12:24:20.605Z,1.0
52066,rp,529,0x0007,1051325239,0x00000000,2020-09-24T12:24:20.607Z,2020-09-24T12:24:20.607Z,0.0
52067,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:20.640Z,2020-09-24T12:24:20.640Z,0.0
52068,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:20.640Z,2020-09-24T12:24:20.640Z,0.0
52069,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:20.640Z,2020-09-24T12:24:20.640Z,0.0
52070,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:20.710Z,2020-09-24T12:24:20.710Z,0.0
52071,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:20.710Z,2020-09-24T12:24:20.710Z,0.0
52072,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:20.710Z,2020-09-24T12:24:20.710Z,0.0
52073,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:20.710Z,2020-09-24T12:24:20.710Z,0.0
52074,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:20.848Z,2020-09-24T12:24:20.848Z,0.0
52075,rp,527,0x0007,3198143009,0x00000000,2020-09-24T12:24:20.855Z,2020-09-24T12:24:20.855Z,0.0
52076,rp,529,0x0007,1051951684,0x00000000,2020-09-24T12:24:20.858Z,2020-09-24T12:24:20.858Z,0.0
52077,rp,528,0x0007,3188327479,0x00000000,2020-09-24T12:24:20.858Z,2020-09-24T12:24:20.858Z,0.0
52078,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:20.940Z,2020-09-24T12:24:20.940Z,0.0
52079,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:20.940Z,2020-09-24T12:24:20.940Z,0.0
52080,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:20.940Z,2020-09-24T12:24:20.940Z,0.0
52081,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:21.010Z,2020-09-24T12:24:21.010Z,0.0
52082,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:21.010Z,2020-09-24T12:24:21.010Z,0.0
52083,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:21.010Z,2020-09-24T12:24:21.010Z,0.0
52084,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:21.010Z,2020-09-24T12:24:21.010Z,0.0
52085,rp,527,0x0007,3198141068,0x00000000,2020-09-24T12:24:21.106Z,2020-09-24T12:24:21.106Z,0.0
52086,rp,528,0x0007,3188323580,0x00000000,2020-09-24T12:24:21.109Z,2020-09-24T12:24:21.109Z,0.0
52087,rp,529,0x0007,1053832327,0x00000000,2020-09-24T12:24:21.109Z,2020-09-24T12:24:21.109Z,0.0
52088,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:21.148Z,2020-09-24T12:24:21.148Z,0.0
52089,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:21.240Z,2020-09-24T12:24:21.240Z,0.0
52090,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:21.240Z,2020-09-24T12:24:21.240Z,0.0
52091,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:21.240Z,2020-09-24T12:24:21.240Z,0.0
52092,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:21.310Z,2020-09-24T12:24:21.310Z,0.0
52093,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:21.310Z,2020-09-24T12:24:21.310Z,0.0
52094,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:21.310Z,2020-09-24T12:24:21.310Z,0.0
52095,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:21.310Z,2020-09-24T12:24:21.310Z,0.0
52096,rp,527,0x0007,3198016604,0x00000000,2020-09-24T12:24:21.354Z,2020-09-24T12:24:21.354Z,0.0
52097,rp,528,0x0007,3188519625,0x00000000,2020-09-24T12:24:21.359Z,2020-09-24T12:24:21.359Z,0.0
52098,rp,529,0x0007,1054304803,0x00000000,2020-09-24T12:24:21.359Z,2020-09-24T12:24:21.359Z,0.0
52099,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:21.448Z,2020-09-24T12:24:21.448Z,0.0
52100,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:21.540Z,2020-09-24T12:24:21.540Z,0.0
52101,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:21.540Z,2020-09-24T12:24:21.540Z,0.0
52102,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:21.540Z,2020-09-24T12:24:21.540Z,0.0
52103,rp,527,0x0007,3196451094,0x00000000,2020-09-24T12:24:21.607Z,2020-09-24T12:24:21.607Z,0.0
52104,rp,528,0x0007,3190286854,0x00000000,2020-09-24T12:24:21.607Z,2020-09-24T12:24:21.607Z,0.0
52105,rp,529,0x0007,1054587083,0x00000000,2020-09-24T12:24:21.607Z,2020-09-24T12:24:21.607Z,0.0
52106,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:21.610Z,2020-09-24T12:24:21.610Z,0.0
52107,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T12:24:21.610Z,2020-09-24T12:24:21.610Z,0.0
52108,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:21.610Z,2020-09-24T12:24:21.610Z,0.0
52109,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:21.610Z,2020-09-24T12:24:21.610Z,0.0
52110,store,DiscSize,0x0003,2,0x00000000,2020-09-24T12:24:21.748Z,2020-09-24T12:24:21.748Z,0.0
52111,gate,Position,0x000b,0.2,0x00000000,2020-09-24T12:24:21.840Z,2020-09-24T12:24:21.840Z,0.0
52112,gate,Safe,0x0001,true,0x00000000,2020-09-24T12:24:21.840Z,2020-09-24T12:24:21.840Z,0.0
52113,gate,Speed,0x000b,0,0x00000000,2020-09-24T12:24:21.840Z,2020-09-24T12:24:21.840Z,0.0
52114,rp,527,0x0007,3190396221,0x00000000,2020-09-24T12:24:21.857Z,2020-09-24T12:24:21.857Z,0.0
52115,rp,528,0x0007,3191568784,0x00000000,2020-09-24T12:24:21.857Z,2020-09-24T12:24:21.857Z,0.0
52116,rp,529,0x0007,1054806693,0x00000000,2020-09-24T12:24:21.860Z,2020-09-24T12:24:21.860Z,0.0
52117,qc,ResultCode,0x0006,2.0,0x00000000,2020-09-24T12:24:21.910Z,2020-09-24T12:24:21.910Z,0.0
52118,qc,DistanceY,0x000b,0.0,0x00000000,2020-09-24T12:24:21.910Z,2020-09-24T12:24:21.910Z,0.0
52119,qc,DistanceAbs,0x000b,0.0,0x00000000,2020-09-24T12:24:21.910Z,2020-09-24T12:24:21.910Z,0.0
